57.9452 	EXP 	pres_text: autoDraw = False
57.9452 	EXP 	fixation: autoDraw = False
57.9452 	EXP 	pres_text: autoDraw = False
57.9452 	EXP 	pres_text: height = 0.1
57.9452 	EXP 	pres_text: height = 0.1
57.9452 	EXP 	pres_text: height = 0.1
57.9452 	EXP 	pres_text: text = '5'
57.9452 	EXP 	fixation: autoDraw = True
58.9457 	EXP 	fixation: autoDraw = False
58.9457 	EXP 	pres_text: autoDraw = True
59.4941 	DATA 	Keypress: escape
59.5997 	EXP 	Español Digit Span Task: status = STOPPED
59.6125 	EXP 	pres_text: autoDraw = False
59.6126 	EXP 	Español Digit Span Task: status = STOPPED
59.7130 	EXP 	window1: mouseVisible = True
