7.7555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
93.0409 	DATA 	Keypress: 1
94.2252 	DATA 	Mouse: Left button down, pos=(927,123)
94.2597 	EXP 	recall_txt: autoDraw = False
94.2597 	EXP 	textbox: autoDraw = False
94.2597 	EXP 	cont_button: autoDraw = False
94.2597 	EXP 	feedback_text: text = 'Incorrect'
94.2597 	EXP 	feedback_text: autoDraw = True
94.3435 	DATA 	Mouse:  Left button up, pos=(927,123)
95.2563 	EXP 	New trial (rep=0, index=1): {'digitSpan': 4, 'digits': 6351}
95.2569 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
95.2572 	EXP 	New trial (rep=0, index=0): None
95.2702 	EXP 	feedback_text: autoDraw = False
95.2702 	EXP 	pres_text: text = '6'
95.2702 	EXP 	fixation: autoDraw = True
96.2542 	EXP 	pres_text: autoDraw = True
96.2683 	EXP 	fixation: autoDraw = False
97.2566 	EXP 	New trial (rep=1, index=0): None
97.2807 	EXP 	fixation: autoDraw = False
97.2807 	EXP 	pres_text: autoDraw = False
97.2807 	EXP 	pres_text: text = '3'
97.2807 	EXP 	fixation: autoDraw = True
98.2564 	EXP 	pres_text: autoDraw = True
98.3072 	EXP 	fixation: autoDraw = False
99.2497 	EXP 	New trial (rep=2, index=0): None
99.2672 	EXP 	fixation: autoDraw = False
99.2672 	EXP 	pres_text: autoDraw = False
99.2672 	EXP 	pres_text: text = '5'
99.2672 	EXP 	fixation: autoDraw = True
100.2523 	EXP 	pres_text: autoDraw = True
100.2712 	EXP 	fixation: autoDraw = False
101.2415 	EXP 	New trial (rep=3, index=0): None
101.2608 	EXP 	pres_text: autoDraw = False
101.2608 	EXP 	fixation: autoDraw = False
101.2608 	EXP 	pres_text: autoDraw = False
101.2608 	EXP 	pres_text: text = '1'
101.2608 	EXP 	fixation: autoDraw = True
102.2502 	EXP 	pres_text: autoDraw = True
102.2675 	EXP 	fixation: autoDraw = False
103.2634 	EXP 	pres_text: autoDraw = False
103.2634 	EXP 	fixation: autoDraw = False
103.2634 	EXP 	pres_text: autoDraw = False
103.2634 	EXP 	recall_txt: autoDraw = True
103.2634 	EXP 	textbox: autoDraw = True
103.2634 	EXP 	cont_button: autoDraw = True
104.2686 	DATA 	Keypress: 6
104.8681 	DATA 	Keypress: 3
105.8217 	DATA 	Keypress: 5
106.2363 	DATA 	Keypress: 1
108.2144 	DATA 	Mouse: Left button down, pos=(991,97)
108.2499 	EXP 	recall_txt: autoDraw = False
108.2499 	EXP 	textbox: autoDraw = False
108.2499 	EXP 	cont_button: autoDraw = False
108.2499 	EXP 	feedback_text: text = 'Correct!'
108.2499 	EXP 	feedback_text: autoDraw = True
108.2774 	DATA 	Mouse:  Left button up, pos=(991,97)
109.2330 	EXP 	New trial (rep=0, index=2): {'digitSpan': 4, 'digits': 2391}
109.2336 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
109.2338 	EXP 	New trial (rep=0, index=0): None
109.2496 	EXP 	feedback_text: autoDraw = False
109.2496 	EXP 	pres_text: text = '2'
109.2496 	EXP 	fixation: autoDraw = True
110.2319 	EXP 	pres_text: autoDraw = True
110.2774 	EXP 	fixation: autoDraw = False
111.2344 	EXP 	New trial (rep=1, index=0): None
111.2564 	EXP 	fixation: autoDraw = False
111.2564 	EXP 	pres_text: autoDraw = False
111.2564 	EXP 	pres_text: text = '3'
111.2564 	EXP 	fixation: autoDraw = True
112.2570 	EXP 	pres_text: autoDraw = True
112.2802 	EXP 	fixation: autoDraw = False
113.2363 	EXP 	New trial (rep=2, index=0): None
113.2621 	EXP 	fixation: autoDraw = False
113.2621 	EXP 	pres_text: autoDraw = False
113.2621 	EXP 	pres_text: text = '9'
113.2621 	EXP 	fixation: autoDraw = True
114.2536 	EXP 	pres_text: autoDraw = True
114.2634 	EXP 	fixation: autoDraw = False
115.2364 	EXP 	New trial (rep=3, index=0): None
115.2507 	EXP 	fixation: autoDraw = False
115.2507 	EXP 	pres_text: autoDraw = False
115.2507 	EXP 	pres_text: text = '1'
115.2507 	EXP 	fixation: autoDraw = True
116.2488 	EXP 	pres_text: autoDraw = True
116.2797 	EXP 	fixation: autoDraw = False
117.2724 	EXP 	fixation: autoDraw = False
117.2724 	EXP 	pres_text: autoDraw = False
117.2724 	EXP 	recall_txt: autoDraw = True
117.2724 	EXP 	textbox: autoDraw = True
117.2724 	EXP 	cont_button: autoDraw = True
117.7647 	DATA 	Keypress: 2
117.9865 	DATA 	Keypress: 3
118.5305 	DATA 	Keypress: 9
118.9760 	DATA 	Keypress: 1
120.4321 	DATA 	Mouse: Left button down, pos=(996,92)
120.4622 	EXP 	recall_txt: autoDraw = False
120.4622 	EXP 	textbox: autoDraw = False
120.4622 	EXP 	cont_button: autoDraw = False
120.4622 	EXP 	feedback_text: text = 'Correct!'
120.4622 	EXP 	feedback_text: autoDraw = True
120.5114 	DATA 	Mouse:  Left button up, pos=(996,92)
121.4571 	EXP 	New trial (rep=0, index=2): {'condition_file': 'five.xlsx'}
121.4933 	EXP 	Imported five.xlsx as conditions, 3 conditions, 2 params
121.4944 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
121.4950 	EXP 	New trial (rep=0, index=0): {'digitSpan': 5, 'digits': 14932}
121.4956 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
121.4960 	EXP 	New trial (rep=0, index=0): None
121.5041 	EXP 	feedback_text: autoDraw = False
121.5041 	EXP 	pres_text: text = '1'
121.5041 	EXP 	fixation: autoDraw = True
122.4958 	EXP 	pres_text: autoDraw = True
122.5257 	EXP 	fixation: autoDraw = False
123.4703 	EXP 	New trial (rep=1, index=0): None
123.4900 	EXP 	fixation: autoDraw = False
123.4900 	EXP 	pres_text: autoDraw = False
123.4900 	EXP 	pres_text: text = '4'
123.4900 	EXP 	fixation: autoDraw = True
124.4713 	EXP 	pres_text: autoDraw = True
