Column1;subject;type;condition;goal;block;block_num;block_instr_text;trial_num;stim_0;stim_0_value;stim_1;stim_1_value;position_changed;stim_left;stim_right;stim_left_name;stim_right_name;stim_left_name_feedback;stim_right_name_feedback;optimal_stim;optimal_choice;practice_round.thisRepN;practice_round.thisTrialN;practice_round.thisN;practice_round.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;BlockInstr_disp.started;BlockInstr_disp.stopped;iti.started;iti.stopped;left.started;left.stopped;right.started;right.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;chosen_stim_name;chosen_stim_0;chosen_stim_1;true_accuracy;left_feedback.started;left_feedback.stopped;right_feedback.started;right_feedback.stopped;cumulativePts_self;outcomeDescr;outcome;feedback_text.started;feedback_text.stopped;participant;date;expName;psychopyVersion;frameRate
31;0;0;self;win;self_win;1;Play to WIN points;30;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;30;30;30;2.08E+16;None;2.09E+16;None;2.09E+16;None;2.09E+16;None;left;1;3.27E+16;2.09E+16;None;stimuli/slot1_up.jpg;1;0;1;2.09E+15;None;2.09E+15;None;4100;self win;1;2.10E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
32;0;0;self;win;self_win;1;Play to WIN points;31;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;31;31;31;2.11E+16;None;2.13E+16;None;2.12E+16;None;2.12E+16;None;right;1;3.03E+16;2.12E+16;None;stimuli/slot1_up.jpg;1;0;1;2.12E+16;None;2.12E+16;None;4200;self win;1;2.13E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
33;0;0;self;win;self_win;1;Play to WIN points;32;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;32;32;32;2.15E+16;None;2.16E+16;None;2.15E+16;None;2.15E+16;None;right;1;5.19E+15;2.15E+16;None;stimuli/slot1_up.jpg;1;0;1;2.16E+15;None;2.16E+15;None;4300;self win;1;2.17E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
34;0;0;self;win;self_win;1;Play to WIN points;33;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;33;33;33;2.18E+16;None;2.20E+16;None;2.19E+16;None;2.19E+16;None;left;0;2.94E+15;2.19E+16;None;stimuli/slot1_up.jpg;1;0;1;2.19E+16;None;2.19E+16;None;4300;self avoid win;0;2.20E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
35;0;0;self;win;self_win;1;Play to WIN points;34;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;34;34;34;2.22E+15;None;2.23E+16;None;2.22E+16;None;2.22E+16;None;right;1;3.35E+15;2.22E+16;None;stimuli/slot1_up.jpg;1;0;1;2.23E+16;None;2.23E+16;None;4400;self win;1;2.24E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
36;0;0;self;win;self_win;1;Play to WIN points;35;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;35;35;35;2.25E+16;None;2.27E+16;None;2.26E+16;None;2.26E+16;None;left;1;3.58E+15;2.26E+16;None;stimuli/slot1_up.jpg;1;0;1;2.26E+16;None;2.26E+16;None;4500;self win;1;2.27E+14;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
37;0;0;self;win;self_win;1;Play to WIN points;36;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot1_up.jpg;left;;;;;0;36;36;36;2.29E+15;None;2.30E+16;None;2.29E+16;None;2.29E+16;None;left;1;3.96E+16;2.29E+16;None;stimuli/slot1_up.jpg;1;0;1;2.30E+16;None;2.30E+16;None;4600;self win;1;2.31E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
38;0;0;self;win;self_win;1;Play to WIN points;37;stimuli/slot1_up.jpg;0;stimuli/slot2_up.jpg;1;0;1;2;stimuli/slot1_up.jpg;stimuli/slot2_up.jpg;stimuli/slot1_down.jpg;stimuli/slot2_down.jpg;stimuli/slot2_up.jpg;right;;;;;0;37;37;37;2.32E+16;None;2.34E+14;None;2.33E+16;None;2.33E+16;None;left;0;4.33E+16;2.33E+16;None;stimuli/slot1_up.jpg;1;0;1;2.33E+16;None;2.33E+16;None;4600;self avoid win;0;2.34E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
39;0;0;self;win;self_win;1;Play to WIN points;38;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;38;38;38;2.36E+15;None;2.38E+16;None;2.36E+16;None;2.36E+16;None;left;0;7.40E+14;2.36E+16;None;stimuli/slot2_up.jpg;0;1;0;2.37E+15;None;2.37E+15;None;4600;self avoid win;0;2.38E+15;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
40;0;0;self;win;self_win;1;Play to WIN points;39;stimuli/slot1_up.jpg;1;stimuli/slot2_up.jpg;0;1;2;1;stimuli/slot2_up.jpg;stimuli/slot1_up.jpg;stimuli/slot2_down.jpg;stimuli/slot1_down.jpg;stimuli/slot1_up.jpg;right;;;;;0;39;39;39;2.40E+16;None;2.41E+16;None;2.40E+16;None;2.40E+16;None;right;1;3.31E+16;2.40E+16;None;stimuli/slot1_up.jpg;1;0;1;2.40E+16;None;2.40E+16;None;4700;self win;1;2.41E+16;None;0;2021_Mar_01_2315;two-armed-bandit;202110;6.00E+15
