imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,reminder.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,reminder_2.started,trial_counter_2.started,feedback.stopped,background_3.stopped,textbox.stopped,reminder_2.stopped,trial_counter_2.stopped,thanks.started,background_4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
same/98a.png,left,same,0,24,24,19,59.115896600007545,,,,,,,59.07619379996322,59.115896600007545,59.115896600007545,59.115896600007545,59.115896600007545,59.115896600007545,59.583570300019346,left,1,0.4589722999953665,None,59.58387709996896,59.609458399994764,59.609458399994764,59.609458399994764,59.609458399994764,60.59664070000872,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/32c.png,right,different,0,25,25,36,60.63644959998783,,,,,,,60.596993000013754,60.63644959998783,60.63644959998783,60.63644959998783,60.63644959998783,60.63644959998783,60.97065480001038,left,0,0.3223477999563329,None,60.97096639999654,60.99662910000188,60.99662910000188,60.99662910000188,60.99662910000188,61.98383829998784,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/35b.png,right,different,0,26,26,37,62.023653400014155,,,,,,,61.9842106999713,62.023653400014155,62.023653400014155,62.023653400014155,62.023653400014155,62.023653400014155,62.30457560002105,left,0,0.27938670001458377,None,62.30490629997803,62.33047559997067,62.33047559997067,62.33047559997067,62.33047559997067,63.31758929998614,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/3c.png,right,different,0,27,27,20,63.35748900001636,,,,,,,63.317856699984986,63.35748900001636,63.35748900001636,63.35748900001636,63.35748900001636,63.35748900001636,63.59847510000691,right,1,0.2336727000074461,None,63.59884519997286,63.62427009997191,63.62427009997191,63.62427009997191,63.62427009997191,64.61138379998738,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/89a.png,left,same,0,28,28,18,64.66470429999754,,,,,,,64.6116228000028,64.66470429999754,64.66470429999754,64.66470429999754,64.66470429999754,64.66470429999754,64.89222869998775,left,1,0.2146167000173591,None,64.89260149997426,64.91809459996875,64.91809459996875,64.91809459996875,64.91809459996875,65.90521619998617,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/29b.png,right,different,0,29,29,34,65.94511410000268,,,,,,,65.90548580000177,65.94511410000268,65.94511410000268,65.94511410000268,65.94511410000268,65.94511410000268,66.15954209998017,left,0,0.20604020002065226,None,66.15991990000475,66.18523679999635,66.18523679999635,66.18523679999635,66.18523679999635,67.17237549996935,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/75c.png,left,same,0,30,30,10,67.2122670999961,,,,,,,67.17261710000457,67.2122670999961,67.2122670999961,67.2122670999961,67.2122670999961,67.2122670999961,67.38647739996668,right,0,0.17057959997327998,None,67.38679509999929,67.41234599996824,67.41234599996824,67.41234599996824,67.41234599996824,68.39945520000765,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/28b.png,right,different,0,31,31,33,68.439412000007,,,,,,,68.39971879997756,68.439412000007,68.439412000007,68.439412000007,68.439412000007,68.439412000007,68.68034540000372,left,0,0.23926740000024438,None,68.6807048000046,68.70615659997566,68.70615659997566,68.70615659997566,68.70615659997566,69.69358939997619,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/31b.png,right,different,0,32,32,35,69.74657299998216,,,,,,,69.69411169999512,69.74657299998216,69.74657299998216,69.74657299998216,69.74657299998216,69.74657299998216,70.02772080001887,left,0,0.27618069999152794,None,70.02816280000843,70.05331940000178,70.05331940000178,70.05331940000178,70.05331940000178,71.04048209998291,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/58a.png,left,same,0,33,33,3,71.08041479997337,,,,,,,71.04076780000469,71.08041479997337,71.08041479997337,71.08041479997337,71.08041479997337,71.08041479997337,71.40137859998504,left,1,0.31895829999120906,None,71.4017284999718,71.42724109999835,71.42724109999835,71.42724109999835,71.42724109999835,72.41433759999927,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/11b.png,right,different,0,34,34,23,72.49422389996471,,,,,,,72.4145921000163,72.49422389996471,72.49422389996471,72.49422389996471,72.49422389996471,72.49422389996471,73.1486431999947,left,0,0.6412065000040457,None,73.14896999998018,73.17448919999879,73.17448919999879,73.17448919999879,73.17448919999879,74.161604599969,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/25a.png,right,different,0,35,35,30,74.20154719997663,,,,,,,74.16184229997452,74.20154719997663,74.20154719997663,74.20154719997663,74.20154719997663,74.20154719997663,74.482471299998,left,0,0.2770689000026323,None,74.48278479999863,74.50836629996775,74.50836629996775,74.50836629996775,74.50836629996775,75.4954502999899,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
different/21a.png,right,different,0,36,36,27,75.53539699997054,,,,,,,75.49567480001133,75.53539699997054,75.53539699997054,75.53539699997054,75.53539699997054,75.53539699997054,75.77630879997741,right,1,0.23201789997983724,None,75.77664029999869,75.80216399999335,75.80216399999335,75.80216399999335,75.80216399999335,76.78926409996348,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/81b.png,left,same,0,37,37,14,76.82919790002052,,,,,,,76.78952300001401,76.82919790002052,76.82919790002052,76.82919790002052,76.82919790002052,76.82919790002052,77.09670599998208,left,1,0.25786700000753626,None,77.09703060000902,77.12266180000734,77.12266180000734,77.12266180000734,77.12266180000734,78.1098050000146,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/74a.png,left,same,0,38,38,9,78.14965719997417,,,,,,,78.1100803000154,78.14965719997417,78.14965719997417,78.14965719997417,78.14965719997417,78.14965719997417,78.80398279998917,left,1,0.6417855999898165,None,78.80430159997195,78.82994819997111,78.82994819997111,78.82994819997111,78.82994819997111,79.81707980000647,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
same/78a.png,left,same,0,39,39,12,79.85703239997383,,,,,,,79.81731579999905,79.85703239997383,79.85703239997383,79.85703239997383,79.85703239997383,79.85703239997383,83.07241989998147,left,1,3.2057686999905854,None,83.07279050000943,83.09823689999757,83.09823689999757,83.09823689999757,83.09823689999757,84.08532519999426,,,,,,,,629366,001,2024-03-27_12h32.28.160,glasgow_face_matching,2023.2.3,74.94864144065349,2024-03-27 12h32.41.477002 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.08537699998124,84.09857959998772,84.09857959998772,,,,,,,,
