18.2879 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
18.2879 	EXP 	background_3: autoDraw = True
18.2879 	EXP 	textbox: autoDraw = True
18.2879 	EXP 	reminder_2: autoDraw = True
18.2879 	EXP 	trial_counter_2: autoDraw = True
19.2752 	EXP 	New trial (rep=0, index=6): {'imageFile': 'different/25a.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
19.3150 	EXP 	background_3: autoDraw = False
19.3150 	EXP 	textbox: autoDraw = False
19.3150 	EXP 	reminder_2: autoDraw = False
19.3150 	EXP 	trial_counter_2: autoDraw = False
19.3150 	EXP 	faces: image = 'different/25a.png'
19.3150 	EXP 	background_2: autoDraw = True
19.3150 	EXP 	faces: autoDraw = True
19.3150 	EXP 	trial_counter: autoDraw = True
19.3150 	EXP 	reminder: autoDraw = True
21.5876 	DATA 	Keypress: left
21.6225 	EXP 	background_2: autoDraw = False
21.6225 	EXP 	faces: autoDraw = False
21.6225 	EXP 	trial_counter: autoDraw = False
21.6225 	EXP 	reminder: autoDraw = False
21.6225 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
21.6225 	EXP 	background_3: autoDraw = True
21.6225 	EXP 	textbox: autoDraw = True
21.6225 	EXP 	reminder_2: autoDraw = True
21.6225 	EXP 	trial_counter_2: autoDraw = True
22.6098 	EXP 	New trial (rep=0, index=7): {'imageFile': 'same/88b.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
22.6629 	EXP 	background_3: autoDraw = False
22.6629 	EXP 	textbox: autoDraw = False
22.6629 	EXP 	reminder_2: autoDraw = False
22.6629 	EXP 	trial_counter_2: autoDraw = False
22.6629 	EXP 	faces: image = 'same/88b.png'
22.6629 	EXP 	background_2: autoDraw = True
22.6629 	EXP 	faces: autoDraw = True
22.6629 	EXP 	trial_counter: autoDraw = True
22.6629 	EXP 	reminder: autoDraw = True
25.9298 	DATA 	Keypress: left
25.9441 	EXP 	background_2: autoDraw = False
25.9441 	EXP 	faces: autoDraw = False
25.9441 	EXP 	trial_counter: autoDraw = False
25.9441 	EXP 	reminder: autoDraw = False
25.9441 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
25.9441 	EXP 	background_3: autoDraw = True
25.9441 	EXP 	textbox: autoDraw = True
25.9441 	EXP 	reminder_2: autoDraw = True
25.9441 	EXP 	trial_counter_2: autoDraw = True
26.9321 	EXP 	New trial (rep=0, index=8): {'imageFile': 'different/18a.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
27.0116 	EXP 	background_3: autoDraw = False
27.0116 	EXP 	textbox: autoDraw = False
27.0116 	EXP 	reminder_2: autoDraw = False
27.0116 	EXP 	trial_counter_2: autoDraw = False
27.0116 	EXP 	faces: image = 'different/18a.png'
27.0116 	EXP 	background_2: autoDraw = True
27.0116 	EXP 	faces: autoDraw = True
27.0116 	EXP 	trial_counter: autoDraw = True
27.0116 	EXP 	reminder: autoDraw = True
28.8433 	DATA 	Keypress: left
28.8785 	EXP 	background_2: autoDraw = False
28.8785 	EXP 	faces: autoDraw = False
28.8785 	EXP 	trial_counter: autoDraw = False
28.8785 	EXP 	reminder: autoDraw = False
28.8785 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
28.8785 	EXP 	background_3: autoDraw = True
28.8785 	EXP 	textbox: autoDraw = True
28.8785 	EXP 	reminder_2: autoDraw = True
28.8785 	EXP 	trial_counter_2: autoDraw = True
29.8658 	EXP 	New trial (rep=0, index=9): {'imageFile': 'same/57c.png', 'corrAns': 'left', 'sameOrDiff': 'same'}
29.9055 	EXP 	background_3: autoDraw = False
29.9055 	EXP 	textbox: autoDraw = False
29.9055 	EXP 	reminder_2: autoDraw = False
29.9055 	EXP 	trial_counter_2: autoDraw = False
29.9055 	EXP 	faces: image = 'same/57c.png'
29.9055 	EXP 	background_2: autoDraw = True
29.9055 	EXP 	faces: autoDraw = True
29.9055 	EXP 	trial_counter: autoDraw = True
29.9055 	EXP 	reminder: autoDraw = True
30.6920 	DATA 	Keypress: left
30.7059 	EXP 	background_2: autoDraw = False
30.7059 	EXP 	faces: autoDraw = False
30.7059 	EXP 	trial_counter: autoDraw = False
30.7059 	EXP 	reminder: autoDraw = False
30.7059 	EXP 	textbox: foreColor = <psychopy.colors.Color: green, alpha=1.0>
30.7059 	EXP 	background_3: autoDraw = True
30.7059 	EXP 	textbox: autoDraw = True
30.7059 	EXP 	reminder_2: autoDraw = True
30.7059 	EXP 	trial_counter_2: autoDraw = True
31.6932 	EXP 	New trial (rep=0, index=10): {'imageFile': 'different/7c.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
31.7329 	EXP 	background_3: autoDraw = False
31.7329 	EXP 	textbox: autoDraw = False
31.7329 	EXP 	reminder_2: autoDraw = False
31.7329 	EXP 	trial_counter_2: autoDraw = False
31.7329 	EXP 	faces: image = 'different/7c.png'
31.7329 	EXP 	background_2: autoDraw = True
31.7329 	EXP 	faces: autoDraw = True
31.7329 	EXP 	trial_counter: autoDraw = True
31.7329 	EXP 	reminder: autoDraw = True
32.3604 	DATA 	Keypress: left
32.3732 	EXP 	background_2: autoDraw = False
32.3732 	EXP 	faces: autoDraw = False
32.3732 	EXP 	trial_counter: autoDraw = False
32.3732 	EXP 	reminder: autoDraw = False
32.3732 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
32.3732 	EXP 	background_3: autoDraw = True
32.3732 	EXP 	textbox: autoDraw = True
32.3732 	EXP 	reminder_2: autoDraw = True
32.3732 	EXP 	trial_counter_2: autoDraw = True
33.3604 	EXP 	New trial (rep=0, index=11): {'imageFile': 'different/17a.png', 'corrAns': 'right', 'sameOrDiff': 'different'}
33.4002 	EXP 	background_3: autoDraw = False
33.4002 	EXP 	textbox: autoDraw = False
33.4002 	EXP 	reminder_2: autoDraw = False
33.4002 	EXP 	trial_counter_2: autoDraw = False
33.4002 	EXP 	faces: image = 'different/17a.png'
33.4002 	EXP 	background_2: autoDraw = True
33.4002 	EXP 	faces: autoDraw = True
33.4002 	EXP 	trial_counter: autoDraw = True
33.4002 	EXP 	reminder: autoDraw = True
33.9061 	DATA 	Keypress: left
33.9204 	EXP 	background_2: autoDraw = False
33.9204 	EXP 	faces: autoDraw = False
33.9204 	EXP 	trial_counter: autoDraw = False
33.9204 	EXP 	reminder: autoDraw = False
33.9204 	EXP 	textbox: foreColor = <psychopy.colors.Color: red, alpha=1.0>
33.9204 	EXP 	background_3: autoDraw = True
33.9204 	EXP 	textbox: autoDraw = True
33.9204 	EXP 	reminder_2: autoDraw = True
33.9204 	EXP 	trial_counter_2: autoDraw = True
34.5809 	DATA 	Keypress: escape
34.6945 	EXP 	glasgow_face_matching: status = STOPPED
34.7074 	EXP 	background_3: autoDraw = False
34.7074 	EXP 	textbox: autoDraw = False
34.7074 	EXP 	reminder_2: autoDraw = False
34.7074 	EXP 	trial_counter_2: autoDraw = False
34.7075 	EXP 	glasgow_face_matching: status = STOPPED
34.7673 	EXP 	window1: mouseVisible = True
