key_resp.keys,key_resp.rt,correct,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.time,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,reward_green,reward_blue,green_pos,pg,pb,corrAns,corrAmount,cash_green,cash_blue,cash_corr,cash_size,cashsize_h,cashsize_v,auditory_stim_green_path,auditory_stim_blue_path,audio_corr,ITI,ITI_s,participant,age,gender,years of education,date,expName,psychopyVersion,OS,frameRate,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,outerLoop.ran,thisCond
,,0,[0.4916521962875578],[0.023409756747159092],[1],[0],[0],[9.47126500000013],"[""green""]",0,44,44,44,1,51,49,right,0.4,-0.4,images/blue_box.png,49,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1170,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.4916521962875578],[0.023409756747159092],[1],[0],[0],[0.02585999999428168],"[""green""]",0,45,45,45,1,75,25,right,0.4,-0.4,images/blue_box.png,25,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,1211,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4916521962875578],[0.023409756747159092],[1],[0],[0],[0.8278700000082608],"[""blue""]",0,46,46,46,1,57,43,left,-0.4,0.4,images/blue_box.png,43,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1047,1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4916521962875578],[0.023409756747159092],[1],[0],[0],[0.14340999998967163],"[""blue""]",0,47,47,47,1,73,27,left,-0.4,0.4,images/blue_box.png,27,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,1054,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.4163524468984736],[-0.11373163114527157],[1],[0],[0],[0.9943449999991572],"[""green""]",0,48,48,48,1,36,64,left,-0.4,0.4,images/blue_box.png,64,Reward2.png,Reward4.png,Rewardnull.png,0,0,0,auditory_stim/coin2.wav,auditory_stim/coin4.wav,auditory_stim/silence_short.wav,766,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4163523998760112],[-0.06484731430265311],[1],[0],[0],[0.7789349999948172],"[""green""]",0,49,49,49,1,61,39,right,0.4,-0.4,images/green_box.png,61,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,1073,1.1,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[-0.38168132764349],[0.0019215729277012711],[1],[0],[0],[1.1649599999946076],"[""blue""]",0,50,50,50,1,12,88,right,0.4,-0.4,images/green_box.png,12,Reward1.png,Reward5.png,Rewardnull.png,0,0,0,auditory_stim/coin1.wav,auditory_stim/coin5.wav,auditory_stim/silence_short.wav,776,0.8,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4516213156960227],[-0.12446234516443568],[1],[0],[0],[0.8125600000057602],"[""blue""]",0,51,51,51,1,67,33,left,-0.4,0.4,images/blue_box.png,33,Reward4.png,Reward2.png,Rewardnull.png,0,0,0,auditory_stim/coin4.wav,auditory_stim/coin2.wav,auditory_stim/silence_short.wav,900,0.9,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,0,[0.4008101594099095],[-0.08630874234098132],[1],[0],[0],[0.7966449999948964],"[""green""]",0,52,52,52,1,92,8,right,0.4,-0.4,images/blue_box.png,8,Reward5.png,Reward1.png,Rewardnull.png,0,0,0,auditory_stim/coin5.wav,auditory_stim/coin1.wav,auditory_stim/silence_short.wav,1168,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
,,1,[0.4336879830147342],[-0.07855878221602947],[1],[0],[0],[0.912609999999404],"[""blue""]",0,53,53,53,1,52,48,left,-0.4,0.4,images/blue_box.png,48,Reward3.png,Reward3.png,Rewardnull.png,0,0,0,auditory_stim/coin3.wav,auditory_stim/coin3.wav,auditory_stim/silence_short.wav,1164,1.2,146989,20,female,0,2021-03-25_00h06.04.105,rl,2020.2.10,Linux x86_64,60,,,,,,
